42,44
29,42
44,50
46,54
42,46
44,38
28,54
30,46
41,56
19,82
32,46
18,78
47,67
32,50
41,50
30,44
41,42
45,56
28,52
30,54
30,52
43,38
45,40
31,56
40,46
45,38
33,56
30,40
44,40
32,40
29,40
40,42
45,42
33,42
42,42
43,46
31,50
39,36
28,40
33,52
29,44
2,31
41,44
44,46
30,42
28,44
30,48
30,50
40,50
28,56
44,52
31,38
44,48
33,50
42,56
40,44
44,44
41,40
42,48
27,49
31,42
29,52
45,46
29,50
45,44
29,54
44,56
33,48
40,38
42,50
32,38
43,42
42,38
45,50
31,52
41,54
41,46
28,48
31,48
45,48
29,38
66,38
32,48
33,40
6,83
30,38
40,52
43,50
42,52
43,54
32,52
41,52
43,48
42,40
40,48
30,56
45,52
31,54
33,54
31,40
33,44
28,42
28,46
28,50
45,54
28,38
29,48
29,56
40,40
31,46
42,54
32,56
32,44
66,41
74,15
33,46
31,44
68,40
41,38
43,56
43,40
32,42
40,54
43,44
41,48
44,54
40,56
43,52
32,54
33,38
29,46
44,42
36,77
34,79
35,79
36,79
37,79
33,83
35,83
37,83
42,80
45,80
46,80
47,78
47,79
